ERROR|Sun, 15 Sep 2013 15:28:19 -0400|external|content|/dede/login.php?gotopage=%2Fdede%2F|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:19 -0400|external|content|/ThinkPHP/LICENSE.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:19 -0400|external|content|/version.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:20 -0400|external|content|/templates/default/info.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/public/home/js/main.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/admin/licence|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/lang/install_wind.sql|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/FCK/fckeditor.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/core/version.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/ThinkPHP/Extend/README.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/dede/js/album.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:21 -0400|external|content|/usr/themes/default/sytle.css|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:23 -0400|external|content|/inc/playerKinds.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:23 -0400|external|content|/易贴生活信息网介绍.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:24 -0400|external|content|/extensions/jcms/info.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:24 -0400|external|content|/fckeditor.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:24 -0400|external|content|/install/oecms_v3.0.sql|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:24 -0400|external|content|/template/home.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:24 -0400|external|content|/userapi_readme.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:26 -0400|external|content|/Resource/Cache/City.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:26 -0400|external|content|/install/en.sql|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:27 -0400|external|content|/app/code/core/Mage/Admin/etc/config.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:27 -0400|external|content|/admin/js/command.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:27 -0400|external|content|/js/fckeditorcode_ie.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
