ERROR|Fri, 07 Jun 2013 17:16:23 -0400|visitor|content|/robots.txt|199.30.20.125|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 17:52:18 -0400|visitor|content|/robots.txt|23.22.52.250|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 17:52:19 -0400|visitor|content|/robots.txt|23.22.52.250|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 17:56:51 -0400|visitor|content|/robots.txt|100.43.83.156|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 18:49:39 -0400|visitor|content|/robots.txt|54.224.133.231|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 18:49:40 -0400|visitor|content|/robots.txt|54.224.133.231|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 18:57:56 -0400|external|content|/myspace/hawk.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 18:57:56 -0400|external|content|/myspace/vintage-logo.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 18:57:56 -0400|external|content|/myspace/nick.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 18:57:56 -0400|external|content|/myspace/matt.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 18:57:56 -0400|external|content|/myspace/rog.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 18:57:56 -0400|external|content|/myspace/backdrop_vintage.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/Modules/PageEditor/Handlers/Profiles/ProfileCss.ashx?userId=22122619">http://www.myspace.com/Modules/PageEditor/Handlers/Profiles/ProfileCss.ashx?userId=22122619</a>.
ERROR|Fri, 07 Jun 2013 18:58:10 -0400|external|content|/myspace/backdrop_vintage.png|64.46.13.222|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising/music/songs/counting-the-numbers-extended-26303672">http://www.myspace.com/magnusrising/music/songs/counting-the-numbers-extended-26303672</a>.
ERROR|Fri, 07 Jun 2013 19:29:54 -0400|visitor|content|/robots.txt|178.255.215.67|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 20:14:49 -0400|visitor|content|/robots.txt|66.249.73.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 20:56:51 -0400|visitor|content|/robots.txt|157.55.35.106|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 23:00:20 -0400|visitor|content|/robots.txt|23.22.52.250|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 23:00:21 -0400|visitor|content|/robots.txt|23.22.52.250|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 23:14:57 -0400|visitor|content|/robots.txt|157.55.32.188|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 23:58:33 -0400|visitor|content|/robots.txt|23.22.52.250|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 23:58:34 -0400|visitor|content|/robots.txt|23.22.52.250|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
